The bus ID,Name of bus station,longitude,latitude,
240094,芙蓉区政府,113036356,28192403,
240071,芙蓉区政府,113036746,28192403,
240077,芙蓉区政府,113036436,28192103,
240072,芙蓉区政府,113036496,28192353,
240084,芙蓉区政府,113036186,28192073,
240086,芙蓉区政府,113036496,28191993,
240098,芙蓉区政府,113036416,28191903,
240390,芙蓉区政府,113036776,28192463,
240093,芙蓉区政府,113036416,28192213,
240209,芙蓉区政府,112985436,28088353,
240078,芙蓉区政府,113036526,28192103,
240075,芙蓉区政府,113036556,28191993,
240389,芙蓉区政府,113036326,28192353,
240061,芙蓉区政府,113036306,28192243,
240069,芙蓉区政府,113036496,28192493,
240092,芙蓉区政府,113036606,28191933,
240090,芙蓉区政府,113036436,28191853,
240087,芙蓉区政府,113036166,28192043,
240100,芙蓉区政府,113036576,28192383,
240067,芙蓉区政府,113036623,28192263,
240207,芙蓉区政府,113036556,28191933,
240076,芙蓉区政府,113036436,28192153,
240066,芙蓉区政府,113036436,28192183,
240073,芙蓉区政府,113036556,28192403,
240210,芙蓉区政府,113036276,28191883,
240101,芙蓉区政府,113036556,28191963,
240063,芙蓉区政府,113036326,28192323,
240064,芙蓉区政府,113036683,28192043,
240091,芙蓉区政府,113036326,28192133,
240085,芙蓉区政府,113036466,28192243,
240095,芙蓉区政府,113037416,28189793,
240080,芙蓉区政府,113036276,28192153,
240089,芙蓉区政府,113036466,28191493,
240096,芙蓉区政府,113036306,28192133,
240070,芙蓉区政府,113036386,28192293,
240208,芙蓉区政府,113036636,28192183,
240081,芙蓉区政府,113036246,28192043,
240065,芙蓉区政府,113036576,28191823,
240097,芙蓉区政府,113036606,28192573,
240079,芙蓉区政府,113036356,28191903,
240099,芙蓉区政府,113036416,28192153,
240393,芙蓉区政府,113036466,28192463,
240074,芙蓉区政府,113036416,28192243,
240062,芙蓉区政府,113036526,28192273,
240063,豆花塘,113039576,28149793,
240065,豆花塘,113039186,28150603,
240080,豆花塘,113039436,28150133,
240061,豆花塘,113039776,28149683,
240066,豆花塘,113039026,28149853,
240098,豆花塘,113038806,28150543,
240067,豆花塘,113039416,28150293,
240073,豆花塘,113039186,28150773,
240092,豆花塘,113039186,28150383,
240101,豆花塘,113039106,28149823,
240095,豆花塘,113039666,28148353,
240079,豆花塘,113039056,28150183,
240390,豆花塘,113039666,28149963,
240085,豆花塘,113039416,28149713,
240393,豆花塘,113039186,28150683,
240074,豆花塘,113039466,28150043,
240210,豆花塘,113038936,28150213,
240097,豆花塘,113039386,28149793,
240089,豆花塘,113038886,28150213,
240091,豆花塘,113039076,28150653,
240208,豆花塘,113039466,28150103,
240090,豆花塘,113039306,28149543,
